name,appid
A Way Out,1222700
Bully: Scholarship Edition,12200
Capcom Arcade Stadium,1515950
Content Warning,2881650
DOOM Eternal,782330
Dark Sector,29900
Dead Island Riptide Definitive Edition,383180
Dead Space,1693980
Death Fungeon,897630
Detroit: Become Human,1222140
Disco Elysium,632470
Far Cry® 3,220240
Fear & Hunger,1002300
Firewatch,383870
HITMAN World of Assassination,1659040
Hades,1145360
Half-Life,70
Half-Life 2,220
Half-Life 2: Deathmatch,320
Half-Life Deathmatch: Source,360
Heavy Rain,960910
Hollow Knight,367520
L.A. Noire,110800
Left 4 Dead 2,550
Life is Strange Remastered,1265920
Life is Strange: Before the Storm Remastered,1265930
Mass Effect™ Legendary Edition,1328670
Metro 2033 Redux,286690
Nocturnal,1634080
One Gun Guy,1200580
Outlast,238320
Outlast 2,414700
PEAK,3527290
Portal,400
Portal 2,620
The Elder Scrolls V: Skyrim Special Edition,489830
The Forest,242760
The Stanley Parable: Ultra Deluxe,1703340
UNCHARTED™: Legacy of Thieves Collection,1659420
Undertale,391540
